what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525793638037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793651172
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793655477
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1525793655509
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1525793655509
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1525793655509
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525793662404
activated,perspective,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui.cPerspective",1525793671124
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1525793671140
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1525793671140
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1525793672996
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525793674556
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1525793676069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793685975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793699906
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525793699922
error,log,,,"No Byte Stream Services found for Nios II Console View",1525793704836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793717133
opened,editor,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1525793717211
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1525793717226
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793720003
activated,perspective,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui.debugPerspective",1525793720050
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1525793720050
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525793725167
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793726914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525793838481
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1525793841367
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1525793847591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1525793849682
